query	class
java conferences in london on thursday	1
what are all my upcoming conference I am organizing on this Saturday	1
oracle workshops I am participating on 21st April	1
UI conference in newyork for next week	1
java workshop happening in chennai	1
my competencie on next tuesday	2
lessons learnts available in scala From 17th April and 1st of May	2
who are all the lead with 2-7 years of experience	0
ajax competencies on wednesday	0
.net lessons learnt on next tuesday	0
list all my project trainings in bangalore on Monday	1
list all my recommended workshop I am speaking for this week	1
what are all the training on next tuesday	2
android designer in oracle	0
my issue for this week	0
list all my upcoming trainings today	1
my project conferences I am organizing today	1
SAP competencie on thursday	0
Hub corporate in bangalore today	1
scala related developer in oracle	0
scala white papers From 17th April and 1st of May	0
.net competencie	0
android architect in scala	0
ajax course on thursday	2
best practices available in scala on wednesday	0
training between 1st of May and 2nd of December	0
architects with 2-7 years of experience in scala	0
what are all my recommended trainings I am speaking for this month	1
courses on 21st April	0
best practices in oracle on this Saturday	0
IBelong workshop I am participating From 17th April and 1st of May	1
scala competencies on Monday	2
ajax competencies tomorrow	2
list all workshop in bangalore	1
scala case studies on 21st April	2
oracle conferences happening in chennai today	1
SCALA training I am participating From 17th April and 1st of May	1
java leads with 2-7 years of experience	0
my white paper for next week	2
UX corporates I am organizing on this Saturday	1
what are all my upcoming celebration between 1st of May and 2nd of December	1
my courses on this Saturday	2
UX workshop in Chennai for this week	1
what are all my upcoming corporates I am organizing on wednesday	1
java related training today	0
Hub conferences I am organizing between 1st of May and 2nd of December	1
oracle best practices for this week	2
list all my closed risks on 21st April	0
list all my upcoming training I am participating on this Saturday	1
d&i event in bangalore on 21st April	1
list all the case studies on wednesday	2
list all my upcoming training in london for this month	1
.net proposal on wednesday	0
iOS expert in oracle	0
list all the case studie on this Saturday	0
list all my upcoming trainings happening in chennai on next tuesday	1
list all my project corporates happening in chennai for this month	1
trainings in ajax between 1st of May and 2nd of December	2
d&i conferences in bangalore on this Saturday	1
developers in scala with experience less than 10 years	0
UX trainings in bangalore From 17th April and 1st of May	1
SAP training tomorrow	2
my lessons learnt for this month	0
competencie in ajax From 17th April and 1st of May	0
trainings in ajax on 21st April	0
oracle corporates in Chennai for this week	1
Python event in Chennai for this week	1
java case studie on 21st April	2
UI corporate happening in chennai between 1st of May and 2nd of December	1
my conferences for next week	1
competencies in oracle on next tuesday	0
UX conferences in bangalore From 17th April and 1st of May	1
scala related proposal on wednesday	0
lessons learnts in oracle between 1st of May and 2nd of December	0
list all my conference I am participating for next week	1
proposals published in java tomorrow	0
list all my project conferences for next week	1
UX corporates I am speaking between 1st of May and 2nd of December	1
iOS analyst with 5+ years of experience	0
what are all the best practice on this Saturday	0
what are all the trainings in bangalore From 17th April and 1st of May	1
.net proposal for this week	0
course in ajax today	2
.net lead with experience more than 3 years	0
courses in ajax on wednesday	0
event today	1
my project celebrations in bangalore between 1st of May and 2nd of December	1
what are all my in progress apricots for this month	0
what are all my recommended corporate in bangalore on thursday	1
UI corporate in london on Monday	1
white papers for next month	0
proposal published in java for this month	0
list all my recommended workshop in bangalore for this week	1
what are all my open tasks for next month	0
my best practices From 17th April and 1st of May	0
UX analysts in scala	0
what are all my upcoming workshop happening in chennai on 21st April	1
java trainings in london on wednesday	1
UX trainings in bangalore on next tuesday	1
lessons learnt published in java on 21st April	2
course in ajax on 21st April	2
java related training for next month	2
Python conferences I am organizing for next month	1
my project corporate happening in chennai on thursday	1
list all my workshop I am speaking between 1st of May and 2nd of December	1
list all my upcoming celebration in Chennai on thursday	1
list all my project apricots for next month	0
lessons learnts in ajax on this Saturday	0
Hub corporates for this month	1
list all my closed issue for next week	0
ajax proposal between 1st of May and 2nd of December	0
what are all the best practice	2
designer with 2-7 years of experience in ajax	0
java trainings in bangalore	1
lessons learnt for this week	0
iOS analyst in scala	0
UI corporates in london on this Saturday	1
SCALA conference in bangalore tomorrow	1
UX workshop in mumbai for this month	1
what are all the workshop in bangalore on Monday	1
SAP leads with 5+ years of experience	0
what are all the workshop in newyork for this week	1
list all the proposals for next week	2
what are all my recommended conferences I am speaking between 1st of May and 2nd of December	1
what are all my in progress apricot From 17th April and 1st of May	0
UI event in Chennai tomorrow	1
what are all the event for this week	1
.net proposal on thursday	0
IBelong event in newyork on next tuesday	1
analysts in oracle	0
SCALA corporates in london on Monday	1
scala related trainings on 21st April	0
my project conference I am participating today	1
list all the lead in oracle	0
UX training in london for this week	1
what are all the course on next tuesday	2
UX events I am participating for this week	1
Python training in bangalore for next week	1
what are all my recommended workshops happening in chennai tomorrow	1
java trainings for this month	0
java courses for this month	0
java white paper today	2
UI trainings in mumbai for next month	1
Hub event in Chennai on thursday	1
scala trainings From 17th April and 1st of May	2
java workshops happening in chennai on wednesday	1
SCALA event in newyork on thursday	1
d&i workshops in london between 1st of May and 2nd of December	1
scala related competencie between 1st of May and 2nd of December	0
what are all my open issue on 21st April	0
ajax lead with experience more than 3 years	0
what are all my upcoming training in mumbai on this Saturday	1
what are all the best practices for this week	0
what are all the celebration I am speaking on wednesday	1
oracle competencie for this week	0
d&i corporates in mumbai	1
what are all my recommended event I am organizing between 1st of May and 2nd of December	1
lead with 5+ years of experience in oracle	0
my corporates I am participating tomorrow	1
architect with 5 years of experience in oracle	0
oracle celebration happening in chennai for next week	1
my project apricot on this Saturday	0
task on 21st April	0
SCALA trainings in london on 21st April	1
list all my project conference I am organizing on thursday	1
java white papers on wednesday	0
what are all the event in london on next tuesday	1
what are all my recommended workshops in newyork on wednesday	1
SCALA corporates in london for next month	1
list all my closed issue on this Saturday	0
training for next week	0
my project risks for this month	0
java conferences in london From 17th April and 1st of May	1
d&i trainings happening in chennai for next month	1
java celebration happening in chennai on thursday	1
ajax case studie on thursday	2
UI celebrations in bangalore	1
java related competencie tomorrow	0
competencie in ajax on this Saturday	2
what are all my upcoming conferences I am speaking on next tuesday	1
Hub training for next week	1
android designers in java	0
Hub conferences in newyork on Monday	1
oracle conferences I am organizing on wednesday	1
scala related proposal on 21st April	0
UI workshop in london tomorrow	1
proposal available in scala on wednesday	2
case studie in ajax between 1st of May and 2nd of December	0
developers in ajax with 5 years of experience	0
my project workshop in mumbai between 1st of May and 2nd of December	1
UX celebrations in mumbai on Monday	1
expert with experience less than 10 years in java	0
what are all my upcoming events I am speaking on Monday	1
UX event on thursday	1
Hub training happening in chennai for this month	1
oracle celebration I am participating for this week	1
case studies available in scala tomorrow	0
my celebrations in newyork	1
list all my upcoming workshops in mumbai From 17th April and 1st of May	1
what are all my recommended celebration I am participating for next week	1
UX conference in newyork between 1st of May and 2nd of December	1
java conference I am organizing for this week	1
list all my upcoming training I am participating for next month	1
d&i celebrations I am speaking for this month	1
oracle conferences on this Saturday	1
ajax architects in ajax	0
IBelong conference in Chennai on Monday	1
java related proposals on 21st April	2
java related white papers for next month	0
what are all my initiated issues on 21st April	0
designer with 5 years of experience	0
ajax expert with 5+ years of experience	0
SCALA workshop I am speaking	1
what are all my upcoming corporates in newyork for next week	1
SAP white paper on next tuesday	2
what are all the trainings From 17th April and 1st of May	1
my tasks on thursday	0
UI celebration I am participating for this month	1
list all my training in Chennai on next tuesday	1
what are all the courses on 21st April	0
ajax courses for next week	0
what are all the trainings on this Saturday	2
.net proposal tomorrow	2
UX conference I am organizing today	1
what are all the competencie on this Saturday	0
proposal available in scala for this week	2
proposal published in java for next week	0
d&i trainings in bangalore for this week	1
oracle proposals From 17th April and 1st of May	0
UX conferences in mumbai tomorrow	1
what are all my initiated apricots today	0
list all my corporates I am participating on this Saturday	1
what are all my open issue for next month	0
what are all my in progress apricot tomorrow	0
lessons learnt available in scala on this Saturday	0
d&i corporates I am speaking on this Saturday	1
d&i workshop I am organizing between 1st of May and 2nd of December	1
UX event in newyork for this month	1
what are all my upcoming celebrations I am participating for next month	1
trainings in ajax for this month	0
SAP case studies for this week	0
SAP lessons learnts for next week	0
UX trainings in mumbai for this week	1
ajax course on this Saturday	2
scala related case studie between 1st of May and 2nd of December	0
list all event happening in chennai between 1st of May and 2nd of December	1
analyst with 5+ years of experience in ajax	0
UX analysts in java	0
what are all my upcoming conference I am organizing today	1
UI celebrations in Chennai on thursday	1
list all my recommended trainings in bangalore From 17th April and 1st of May	1
list all my in progress risk between 1st of May and 2nd of December	0
SCALA corporate in Chennai today	1
UI corporates I am speaking From 17th April and 1st of May	1
my events in london today	1
oracle training From 17th April and 1st of May	2
java training in london for next week	1
java trainings I am organizing today	1
Python conferences I am speaking on Monday	1
list all workshops happening in chennai today	1
scala analysts with 5+ years of experience	0
android architect in ajax	0
list all my initiated risks on thursday	0
case studie in ajax for this month	0
oracle event in london on Monday	1
what are all the conference in bangalore on next tuesday	1
who are all the architects with experience more than 3 years	0
.net white papers tomorrow	0
list all my upcoming conferences in mumbai today	1
best practice between 1st of May and 2nd of December	2
list all my project event in mumbai between 1st of May and 2nd of December	1
my issue on wednesday	0
scala proposal on Monday	0
list all my in progress issue for this month	0
Python events tomorrow	1
list all my project apricot today	0
.net competencies for this week	0
UX conferences in newyork on this Saturday	1
my trainings in Chennai on wednesday	1
risk today	0
java workshop happening in chennai on thursday	1
java case studies for this week	0
UX corporate in newyork on wednesday	1
what are all the conferences in bangalore for this month	1
training on Monday	2
proposal on wednesday	0
proposals available in scala today	0
.net lead in oracle	0
SAP trainings for next week	0
course available in scala between 1st of May and 2nd of December	2
java events in bangalore tomorrow	1
lessons learnts for next week	0
list all the architect	0
what are all the corporates I am participating on this Saturday	1
java corporates I am speaking tomorrow	1
what are all my recommended corporate in newyork	1
what are all my upcoming events happening in chennai on Monday	1
java leads with experience less than 10 years	0
scala lessons learnt	0
Hub corporates in newyork on wednesday	1
my course on thursday	0
list all my recommended workshops happening in chennai tomorrow	1
what are all my recommended corporate in london for this month	1
iOS developers in ajax	0
list all the competencies on Monday	2
java related case studie for this week	0
list all my recommended celebrations I am speaking for next week	1
d&i celebration in Chennai on Monday	1
what are all my upcoming event I am participating From 17th April and 1st of May	1
scala competencie on this Saturday	0
UI workshops I am participating on Monday	1
competencie on wednesday	0
list all my project event I am organizing on 21st April	1
java conference in mumbai for this week	1
ajax case studies on wednesday	0
UX conferences in newyork for this week	1
what are all my upcoming celebrations in newyork on 21st April	1
java celebrations in london for next month	1
java workshops in bangalore for this week	1
developer in ajax with 5 years of experience	0
list all event I am participating on thursday	1
what are all the event on thursday	1
java training on 21st April	1
UX architect with 5 years of experience	0
my courses for next week	0
list all my upcoming trainings in Chennai tomorrow	1
what are all the lessons learnts for next month	0
.net architect with 5+ years of experience	0
.net lessons learnts on wednesday	0
java proposals for next month	0
list all my upcoming corporate in mumbai From 17th April and 1st of May	1
UX developers in oracle	0
list all my project conference I am organizing for this week	1
what are all my closed issue on 21st April	0
best practice available in scala on this Saturday	0
my workshops in newyork	1
list all my upcoming events in bangalore on next tuesday	1
list all my closed risks for this week	0
what are all my upcoming event in Chennai for this month	1
case studies for this week	2
what are all my upcoming trainings on 21st April	1
UX corporates in mumbai for this week	1
UX workshops I am speaking between 1st of May and 2nd of December	1
scala experts in java	0
IBelong training happening in chennai on wednesday	1
scala proposal on this Saturday	0
java competencies on 21st April	0
list all the course between 1st of May and 2nd of December	2
my project celebrations in newyork on thursday	1
who are all the leads with 5 years of experience	0
course in ajax on thursday	0
Python training I am organizing on this Saturday	1
oracle architects in java	0
UX conferences I am speaking on 21st April	1
best practice in oracle tomorrow	0
UX workshop in london for this month	1
IBelong event I am organizing	1
oracle courses tomorrow	0
list all my recommended conference happening in chennai tomorrow	1
UI corporate in mumbai on next tuesday	1
what are all the training happening in chennai on 21st April	1
what are all the white papers on thursday	0
oracle white paper on Monday	2
UX corporates From 17th April and 1st of May	1
scala related proposals on next tuesday	0
.net white papers for next month	0
list all my recommended event I am speaking	1
oracle courses between 1st of May and 2nd of December	0
list all my corporates I am speaking on next tuesday	1
list all conferences happening in chennai on this Saturday	1
IBelong corporates in london today	1
UI corporate in bangalore	1
scala case studies between 1st of May and 2nd of December	0
IBelong conference in bangalore on next tuesday	1
what are all the celebration in newyork for next week	1
what are all the workshops in newyork for this week	1
proposal in ajax for this week	2
Python conferences in bangalore for next week	1
list all my conference in bangalore tomorrow	1
list all my upcoming conference in Chennai for next week	1
d&i corporate in Chennai today	1
list all my upcoming corporate in london From 17th April and 1st of May	1
list all my recommended workshops happening in chennai for this week	1
.net developer	0
oracle celebration I am organizing on wednesday	1
SCALA corporates From 17th April and 1st of May	1
scala related white papers on wednesday	0
.net courses From 17th April and 1st of May	0
IBelong training in mumbai for this week	1
oracle trainings on next tuesday	2
list all my in progress task today	0
my corporates I am participating for next month	1
issue tomorrow	0
who are all the developer in ajax	0
my project workshops I am organizing on 21st April	1
competencies in ajax on next tuesday	0
java lessons learnts for next month	0
java related proposal between 1st of May and 2nd of December	0
list all the competencie on next tuesday	0
SCALA celebrations in mumbai on 21st April	1
case studie on wednesday	2
SCALA events in london on this Saturday	1
case studies in ajax on 21st April	2
java celebrations I am speaking for next month	1
.net case studies for this month	0
java related competencies on this Saturday	0
my case studie for this week	0
list all my upcoming conferences in bangalore on Monday	1
IBelong celebration in Chennai on Monday	1
trainings available in scala on Monday	0
what are all the proposals From 17th April and 1st of May	2
best practice in oracle for next week	0
what are all my recommended celebrations in mumbai for next week	1
IBelong corporate in london on Monday	1
.net courses for next month	0
list all my initiated tasks for next week	0
what are all the trainings	2
designer in oracle	0
UI workshops I am participating today	1
.net white papers for this month	2
trainings on next tuesday	1
competencies in ajax	0
SCALA corporate I am participating on wednesday	1
my best practice on Monday	0
SAP developer in ajax	0
my celebrations happening in chennai From 17th April and 1st of May	1
Python event between 1st of May and 2nd of December	1
my corporate I am speaking for this month	1
.net courses for this week	2
ajax competencies on thursday	2
list all events in london	1
list all my recommended training happening in chennai for next week	1
what are all my recommended workshops in london on next tuesday	1
java related proposal on this Saturday	0
Python events in bangalore for this month	1
oracle conferences in bangalore on wednesday	1
UI workshop in newyork today	1
SCALA workshop in bangalore on wednesday	1
scala developers with experience less than 10 years	0
Hub celebrations I am participating on thursday	1
list all my workshop in london on thursday	1
what are all my open risks today	0
list all conference in newyork on next tuesday	1
.net best practice on 21st April	0
list all my celebrations in Chennai tomorrow	1
UI celebration on this Saturday	1
Python conference in london for this week	1
scala related training From 17th April and 1st of May	2
scala related course on this Saturday	0
list all my training in bangalore on next tuesday	1
oracle corporate I am participating on thursday	1
my project corporates I am organizing between 1st of May and 2nd of December	1
list all my project risk between 1st of May and 2nd of December	0
UI trainings I am participating	1
Hub event I am participating	1
white paper published in java on thursday	0
proposals available in scala between 1st of May and 2nd of December	0
d&i celebration in bangalore on thursday	1
list all my closed risks on Monday	0
Hub celebration happening in chennai for this month	1
oracle leads in ajax	0
scala related competencies on next tuesday	0
case studie in oracle on this Saturday	2
what are all my in progress risk for next month	0
scala related competencies on Monday	0
issues From 17th April and 1st of May	0
architect with 5+ years of experience in scala	0
my issues for next month	0
ajax competencies on next tuesday	0
IBelong workshop I am speaking on 21st April	1
oracle white paper for this week	2
android lead in oracle	0
list all corporates in Chennai on this Saturday	1
scala proposal today	0
list all my recommended training I am organizing between 1st of May and 2nd of December	1
list all my upcoming workshops happening in chennai	1
list all my open issue between 1st of May and 2nd of December	0
list all my project task for next month	0
SAP best practice for this month	0
list all my workshop I am participating on 21st April	1
lessons learnt in ajax on wednesday	0
list all celebration happening in chennai for this week	1
what are all my recommended event in Chennai on 21st April	1
list all my project training I am participating tomorrow	1
list all my conferences happening in chennai today	1
oracle corporates in bangalore on this Saturday	1
list all the white paper	0
designers with 2-7 years of experience in ajax	0
d&i workshops I am speaking on Monday	1
my project risk on wednesday	0
d&i conference in mumbai for this week	1
list all my in progress risks for next month	0
case studie in oracle From 17th April and 1st of May	0
java case studie today	0
what are all my upcoming corporate I am participating on next tuesday	1
UX celebration on wednesday	1
UX conference on this Saturday	1
d&i training in newyork on 21st April	1
oracle events I am speaking on this Saturday	1
oracle workshop I am speaking on wednesday	1
oracle celebration in mumbai	1
UX workshops in Chennai on wednesday	1
d&i conferences on next tuesday	1
who are all the analysts in java	0
list all my project celebrations happening in chennai tomorrow	1
developers with 5+ years of experience in oracle	0
list all my closed task for this month	0
UI corporate I am speaking for this week	1
oracle competencies	0
SAP best practices tomorrow	0
.net analyst with 5 years of experience	0
list all my project workshop I am organizing on this Saturday	1
what are all my initiated risks on 21st April	0
my conferences in london for this month	1
training published in java on wednesday	0
java best practices on Monday	0
d&i celebrations in newyork for this month	1
what are all the training on thursday	0
list all my issue for this month	0
Python conference in newyork for this month	1
list all my recommended celebrations in mumbai on this Saturday	1
developer in java with 5 years of experience	0
apricots for next week	0
.net lessons learnts for this week	0
what are all my upcoming event I am speaking on wednesday	1
my project celebrations I am organizing tomorrow	1
java white papers today	0
list all the white paper on next tuesday	0
list all my recommended workshop in mumbai on Monday	1
list all conference I am organizing on this Saturday	1
d&i corporate in bangalore on this Saturday	1
SCALA events in bangalore for this month	1
what are all the best practices on thursday	0
list all my recommended celebration in Chennai today	1
IBelong celebration I am organizing for this week	1
experts in scala	0
list all my project risk today	0
oracle best practices between 1st of May and 2nd of December	0
Hub events in london for this month	1
who are all the developer in java	0
d&i workshop I am speaking on this Saturday	1
java event I am speaking on next tuesday	1
IBelong corporates I am organizing on 21st April	1
what are all the event in mumbai From 17th April and 1st of May	1
list all my project conferences I am organizing today	1
scala white paper on thursday	0
what are all my recommended conference I am organizing on thursday	1
what are all my closed apricots tomorrow	0
list all the competencie for this week	2
SCALA corporate I am participating today	1
oracle proposals on next tuesday	0
list all my open tasks on wednesday	0
my celebrations in london on wednesday	1
training in oracle today	0
ajax designers with experience more than 3 years	0
java workshop I am participating for next week	1
list all my project workshop in Chennai for this week	1
scala courses for this month	2
list all my events for this week	1
UI workshops in newyork for this month	1
UX workshop I am organizing for this week	1
Python corporates I am participating on thursday	1
what are all the case studies between 1st of May and 2nd of December	2
SCALA conference in newyork on this Saturday	1
tasks for this month	0
java events I am speaking for this month	1
ajax best practices on next tuesday	0
list all celebration happening in chennai for this month	1
scala developers with 2-7 years of experience	0
analysts with 5 years of experience in oracle	0
my events I am organizing for this week	1
white paper available in scala on wednesday	0
what are all my open apricots From 17th April and 1st of May	0
Hub event in bangalore From 17th April and 1st of May	1
my courses From 17th April and 1st of May	0
my project apricot tomorrow	0
list all my upcoming events in newyork for next week	1
list all my upcoming conference in bangalore on wednesday	1
list all my project conferences in mumbai on thursday	1
list all my project event I am speaking on thursday	1
IBelong corporates on thursday	1
my competencie between 1st of May and 2nd of December	0
SAP courses today	2
my corporate in mumbai for next week	1
list all my project apricots on this Saturday	0
my competencies on next tuesday	0
my project trainings in london between 1st of May and 2nd of December	1
who are all the leads with 5+ years of experience	0
oracle best practice for this month	0
list all my initiated issues tomorrow	0
list all my recommended event in london on Monday	1
expert with experience more than 3 years in java	0
scala related courses on 21st April	2
list all my closed apricot for this month	0
list all the white paper on Monday	0
scala proposal on Monday	2
expert in java with experience more than 3 years	0
what are all my closed issues for next week	0
d&i corporates in london for next week	1
java corporates in mumbai on thursday	1
Python workshops in Chennai on thursday	1
ajax competencie on 21st April	0
UX corporates in mumbai on next tuesday	1
list all my trainings I am speaking on 21st April	1
SAP trainings for this month	0
.net competencies on next tuesday	2
what are all my recommended celebration I am speaking tomorrow	1
what are all the corporates in Chennai	1
apricot tomorrow	0
best practice on this Saturday	0
list all my recommended corporate in london From 17th April and 1st of May	1
list all celebration I am participating tomorrow	1
oracle competencie today	0
java related training between 1st of May and 2nd of December	2
my white papers	0
my celebration in bangalore for this month	1
oracle training in bangalore on Monday	1
Hub celebration in Chennai on 21st April	1
who are all the architects in scala	0
Python celebration for this week	1
java corporate in bangalore From 17th April and 1st of May	1
list all my upcoming training on wednesday	1
what are all the trainings on Monday	0
list all my recommended celebrations in bangalore on thursday	1
IBelong celebration I am participating	1
training in ajax From 17th April and 1st of May	0
proposal published in java From 17th April and 1st of May	2
Python conference in mumbai on this Saturday	1
java conferences in Chennai on Monday	1
best practice published in java for this month	0
my case studie	2
java related competencies From 17th April and 1st of May	0
list all my in progress apricots for this week	0
SCALA trainings I am participating between 1st of May and 2nd of December	1
ajax designer in oracle	0
tasks on next tuesday	0
list all my recommended corporate in newyork for next month	1
java conferences today	1
d&i trainings happening in chennai tomorrow	1
what are all my upcoming corporates From 17th April and 1st of May	1
list all my recommended conference happening in chennai for this month	1
course published in java tomorrow	0
my event in london on Monday	1
what are all the corporate in mumbai today	1
developers with experience more than 3 years in scala	0
developer in oracle with 2-7 years of experience	0
list all my recommended conference in bangalore between 1st of May and 2nd of December	1
d&i celebrations I am participating on Monday	1
java event in Chennai today	1
list all my recommended celebrations in mumbai for next month	1
what are all the case studie	2
IBelong celebrations in newyork on 21st April	1
SCALA event in mumbai for next week	1
what are all the white papers for next week	0
UX analyst in oracle	0
Python celebration in london for next month	1
Python celebrations I am participating for next week	1
list all the case studies today	0
courses published in java for this month	2
java events in bangalore today	1
white paper in ajax for next month	0
my corporate in london on this Saturday	1
my project tasks on thursday	0
SCALA training in newyork for this month	1
list all my in progress issues today	0
what are all my open task on 21st April	0
UX events in london on thursday	1
scala related best practice between 1st of May and 2nd of December	0
what are all my upcoming training happening in chennai on 21st April	1
oracle training I am participating for this week	1
list all the competencies on thursday	0
Python trainings I am speaking on Monday	1
list all my recommended corporates in Chennai for next month	1
course published in java on next tuesday	2
Python event in bangalore between 1st of May and 2nd of December	1
java case studie on this Saturday	0
d&i event in mumbai From 17th April and 1st of May	1
what are all my recommended corporates I am participating for this week	1
SCALA conferences in bangalore tomorrow	1
who are all the developers	0
d&i trainings I am organizing tomorrow	1
Python training I am participating on next tuesday	1
java related courses on thursday	0
what are all my recommended corporate I am participating on thursday	1
SAP training on Monday	0
what are all my upcoming training in newyork on this Saturday	1
what are all my recommended conference I am organizing for this week	1
my project corporates in bangalore on next tuesday	1
course available in scala on thursday	0
SAP competencie on next tuesday	0
SCALA conferences I am organizing on this Saturday	1
list all my initiated task From 17th April and 1st of May	0
who are all the expert in scala	0
list all my workshop I am speaking for this week	1
oracle course	0
ajax competencies for this month	2
SAP white paper tomorrow	0
.net competencie tomorrow	0
what are all the conference in london on this Saturday	1
what are all my recommended corporate I am organizing for next week	1
my event in Chennai on next tuesday	1
list all my project apricot for next month	0
Hub event on 21st April	1
java related trainings tomorrow	0
list all my celebration I am organizing for this week	1
list all the case studie on wednesday	0
what are all my upcoming trainings I am organizing between 1st of May and 2nd of December	1
SAP lessons learnt on 21st April	0
what are all my initiated issues on wednesday	0
what are all my closed issue for next week	0
Hub conferences in newyork on wednesday	1
list all the white paper From 17th April and 1st of May	2
my trainings in london on thursday	1
list all my corporate From 17th April and 1st of May	1
UI events in Chennai on this Saturday	1
.net best practices for next month	2
list all my project event happening in chennai for this month	1
my project conference I am participating for next month	1
list all my risk on 21st April	0
list all the courses on next tuesday	0
my competencie on this Saturday	0
java workshop in Chennai today	1
case studie published in java tomorrow	0
list all my project conference in newyork for next month	1
SCALA conference I am organizing on thursday	1
list all my conferences in bangalore on this Saturday	1
Hub trainings in mumbai on Monday	1
what are all my initiated task From 17th April and 1st of May	0
list all my recommended celebration in bangalore	1
white paper available in scala for this month	0
scala related white papers on wednesday	2
who are all the analysts	0
IBelong celebrations on wednesday	1
UI corporate in bangalore on 21st April	1
UX conference in london on this Saturday	1
list all my corporates in Chennai between 1st of May and 2nd of December	1
designer with 2-7 years of experience in java	0
list all my project event in london on next tuesday	1
list all my in progress tasks for this month	0
IBelong celebrations I am organizing for this week	1
list all the competencies between 1st of May and 2nd of December	2
ajax architects in java	0
list all my recommended celebration happening in chennai today	1
java lessons learnt on thursday	0
list all my recommended corporates I am organizing on 21st April	1
list all my recommended workshop in newyork	1
list all the white paper on wednesday	0
workshops I am organizing	1
list all my recommended corporate in newyork tomorrow	1
what are all my recommended workshop on thursday	1
scala related course for this week	0
what are all the course From 17th April and 1st of May	0
SAP analyst in scala	0
list all workshops in mumbai on wednesday	1
SCALA celebrations in london tomorrow	1
list all my in progress risk on Monday	0
list all my upcoming trainings in newyork From 17th April and 1st of May	1
what are all the celebrations in mumbai tomorrow	1
list all my project conference I am organizing for this month	1
ajax best practices on thursday	2
ajax white paper for next week	0
oracle celebration I am speaking on Monday	1
what are all my recommended corporate I am organizing on this Saturday	1
what are all my initiated risk on thursday	0
Python corporate I am organizing From 17th April and 1st of May	1
SAP lessons learnts for this week	0
list all the case studie between 1st of May and 2nd of December	0
list all my closed risk on wednesday	0
d&i workshops I am participating on thursday	1
list all my corporate I am participating on this Saturday	1
what are all the corporates in london on Monday	1
lessons learnt in oracle for next week	0
what are all my open issue tomorrow	0
scala developer in java	0
SCALA workshop happening in chennai on 21st April	1
list all my in progress task on Monday	0
analysts in oracle with 2-7 years of experience	0
.net case studies on this Saturday	2
courses published in java on 21st April	0
UI celebration happening in chennai between 1st of May and 2nd of December	1
oracle lessons learnts From 17th April and 1st of May	2
oracle conferences I am organizing on Monday	1
list all my in progress issues on wednesday	0
what are all the white paper	0
what are all my recommended celebration in london today	1
what are all the best practice on thursday	0
who are all the architects in java	0
Hub trainings on next tuesday	1
what are all my upcoming celebrations in london for this month	1
my training tomorrow	1
what are all my recommended celebration in mumbai on this Saturday	1
list all my project celebration in bangalore for next month	1
list all my project events in bangalore between 1st of May and 2nd of December	1
what are all the trainings between 1st of May and 2nd of December	2
d&i trainings on this Saturday	1
developers in oracle with experience more than 3 years	0
d&i training in bangalore for this week	1
java proposal on wednesday	0
trainings available in scala on 21st April	0
list all my upcoming workshops in london for this week	1
list all celebrations in bangalore today	1
list all my recommended trainings between 1st of May and 2nd of December	1
my event for this month	1
d&i workshops happening in chennai on this Saturday	1
.net case studies for next month	0
ajax analyst in ajax	0
my project events I am organizing on Monday	1
my workshop in mumbai between 1st of May and 2nd of December	1
what are all my recommended training in mumbai for next month	1
lessons learnts in oracle for next month	2
best practices in oracle From 17th April and 1st of May	0
list all my closed apricot today	0
Hub celebrations I am organizing on this Saturday	1
analysts in oracle with 5 years of experience	0
oracle proposals today	2
scala best practice on wednesday	2
my project events I am organizing on thursday	1
oracle training I am speaking on 21st April	1
tasks on this Saturday	0
training available in scala on Monday	0
scala related white papers for this week	2
list all my recommended events I am speaking	1
my case studies for next week	0
android designers with experience more than 3 years	0
competencies published in java for this week	0
list all corporate in london for next week	1
designer in oracle with 2-7 years of experience	0
what are all the corporates tomorrow	1
what are all my closed risks today	0
what are all my recommended conference in mumbai on this Saturday	1
android developer in scala	0
list all my upcoming event in newyork between 1st of May and 2nd of December	1
list all the trainings for this week	0
list all my recommended corporate I am organizing on wednesday	1
proposal published in java between 1st of May and 2nd of December	2
what are all my upcoming corporates in Chennai for next week	1
list all my project conference in newyork on 21st April	1
what are all the training From 17th April and 1st of May	0
oracle designers in oracle	0
white paper available in scala on 21st April	0
my competencies for next month	0
list all my recommended trainings I am speaking on Monday	1
list all workshop I am participating on next tuesday	1
list all my upcoming event in Chennai today	1
what are all my in progress risks today	0
what are all my open tasks on this Saturday	0
SCALA event for this week	1
IBelong conference I am participating on 21st April	1
ajax competencies for next week	0
java lessons learnt on Monday	2
lessons learnt in ajax on thursday	0
my project trainings in london From 17th April and 1st of May	1
SAP case studies	0
my best practice From 17th April and 1st of May	0
what are all the corporate in bangalore on 21st April	1
scala related white papers	0
my proposal on Monday	2
UI trainings in bangalore tomorrow	1
ajax lead in ajax	0
my training in bangalore on wednesday	1
UX workshop in bangalore on Monday	1
java analysts	0
ajax training on 21st April	0
list all my apricot on Monday	0
white papers available in scala for next week	0
my project risks on this Saturday	0
scala designer in ajax	0
architects with 5 years of experience in scala	0
proposal published in java on next tuesday	0
list all my open risk tomorrow	0
d&i celebration I am participating for next week	1
what are all the celebrations in bangalore on 21st April	1
my course on Monday	0
my project event for next week	1
Hub trainings in newyork for next month	1
Python training in london for next week	1
what are all my recommended conferences in bangalore	1
